Task,Dataset,N_classes,Classifier,Accuracy,Chance
6-class (old),Steady-state,6,Raw SVM,0.7021276595744681,0.16666666666666666
6-class (old),Steady-state,6,LSTM,0.6808510638297872,0.16666666666666666
6-class (old),Steady-state,6,Transformer,0.7021276595744681,0.16666666666666666
6-class (old),Full,6,Raw SVM,0.7553191489361702,0.16666666666666666
6-class (old),Full,6,LSTM,0.6276595744680851,0.16666666666666666
6-class (old),Full,6,Transformer,0.6914893617021277,0.16666666666666666
12-class (new),Steady-state,12,Raw SVM,0.21833333333333332,0.08333333333333333
12-class (new),Steady-state,12,LSTM,0.21833333333333332,0.08333333333333333
12-class (new),Steady-state,12,Transformer,0.32166666666666666,0.08333333333333333
12-class (new),Full,12,Raw SVM,0.22,0.08333333333333333
12-class (new),Full,12,LSTM,0.23333333333333334,0.08333333333333333
12-class (new),Full,12,Transformer,0.34833333333333333,0.08333333333333333
