feature,profile_rmse_z,profile_corr,ac_related
DN_OutlierInclude_n_001_mdrmd,1.7268811186101742,-0.49105919890616306,False
CO_HistogramAMI_even_2_5,1.626201030216903,-0.3222648953392579,False
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,1.5826085491981223,-0.25232490999749285,False
DN_OutlierInclude_p_001_mdrmd,1.5790767510800758,-0.24674169290080367,False
CO_trev_1_num,1.5043025053052692,-0.13146301373385497,False
SB_BinaryStats_mean_longstretch1,1.4796076704886258,-0.09461942928438907,False
FC_LocalSimple_mean3_stderr,1.4716815999018753,-0.08292336574487146,False
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,1.4500572249745445,-0.05133297785043871,False
CO_Embed2_Dist_tau_d_expfit_meandiff,1.4101633528219357,0.0057196591789981785,True
SB_MotifThree_quantile_hh,1.406772467888227,0.010495611795833443,False
IN_AutoMutualInfoStats_40_gaussian_fmmi,1.259711077433784,0.20656400069530717,True
SP_Summaries_welch_rect_area_5_1,1.1999768487627593,0.28002778121669886,False
SB_BinaryStats_diff_longstretch0,1.1982565088696964,0.2820906694757036,False
PD_PeriodicityWang_th0_01,0.968247655906155,0.5312482384161179,False
SP_Summaries_welch_rect_centroid,0.8186271187731201,0.66492482020461,False
MD_hrv_classic_pnn40,0.8160270590976565,0.6670499194102149,False
CO_FirstMin_ac,0.8144233179287965,0.6683573296069253,True
SB_TransitionMatrix_3ac_sumdiagcov,0.7544892574847644,0.7153729801700444,True
CO_f1ecac,0.6011851089267205,0.8192882324023839,True
FC_LocalSimple_mean1_tauresrat,0.5012857545870509,0.8743562961240459,True
DN_HistogramMode_10,0.11513788106610574,0.9933716341718036,False
DN_HistogramMode_5,0.1067194134718808,0.9943054833941091,False
