class_label,class_name,auc_roc,test_n
0,OPI1,0.6992266992266992,21
1,MSN2,0.9873829873829874,21
2,YOX1,0.9098494098494099,21
3,TEA1,0.906164650799844,22
4,ROX1,0.6955636955636956,21
5,SOK2,0.8097273097273098,21
6,CUP9,0.9280140460397971,22
7,SPT15,0.8757315645727662,22
8,CBF1,0.801994301994302,21
9,STB5,0.8801383801383801,21
10,CIN5,0.792022792022792,21
11,RSC3,0.8821733821733821,21
micro,micro-average,0.8621285519555415,255
macro,macro-average,0.8473324349576138,255
weighted,weighted-average,0.8479909171401219,255
